city,country,lat,lng,alliance
Kan Tzu,China,31.633333,99.983333,ChinaDPRK
Kao Chi,China,24.533333,118.116667,ChinaDPRK
Kao Lan,China,36.05,103.8,ChinaDPRK
Kecheng,China,28.966667,118.883333,ChinaDPRK
Ku Shan Tzu,China,42.016667,125.733333,ChinaDPRK
Ku Tien Tzu,China,44,126.4,ChinaDPRK
Kuandian,China,40.7,124.583333,ChinaDPRK
Kunming,China,25,102.75,ChinaDPRK
Lan Tien Chang,China,39.966667,116.25,ChinaDPRK
Li Chia Tsun,China,25.2,110.316667,ChinaDPRK
Liancheng,China,25.533333,116.616667,ChinaDPRK
Liangping,China,30.716667,107.783333,ChinaDPRK
Lianshan,China,40.75,120.883333,ChinaDPRK
Liao Yuan N.,China,43.583333,123.533333,ChinaDPRK
Liaoyang,China,41.283333,123.066667,ChinaDPRK
Linfen,China,36.05,111.5,ChinaDPRK
Liuzhou Shi,China,24.283333,109.383333,ChinaDPRK
Lu Hsien,China,28.833333,105.366667,ChinaDPRK
Luliang,China,24.983333,103.633333,ChinaDPRK
Lung Chi,China,24.5,117.65,ChinaDPRK
Lung Hua,China,31.166667,121.45,ChinaDPRK
Lung Tien,China,25.583333,119.466667,ChinaDPRK
Luoping,China,24.883333,104.35,ChinaDPRK
Luqiao,China,28.566667,121.416667,ChinaDPRK
Ma Chiang,China,24.65,118.266667,ChinaDPRK
Manzhouli,China,49.55,117.416667,ChinaDPRK
Mukden N.,China,41.866667,123.433333,ChinaDPRK
Nan Cheng,China,33.083333,107.05,ChinaDPRK
Nan Tai,China,26,119.316667,ChinaDPRK
Nan Yuan,China,39.783333,116.366667,ChinaDPRK
Nanchang,China,28.433333,115.916667,ChinaDPRK
Nanchang Shi,China,28.633333,115.916667,ChinaDPRK
Nanhai,China,23.083333,113.05,ChinaDPRK
Nenjiang,China,49.216667,125.266667,ChinaDPRK
Pai Shih I.,China,29.483333,106.35,ChinaDPRK
Pang Fou,China,32.933333,117.366667,ChinaDPRK
Peng Shan,China,30.15,103.85,ChinaDPRK
Pingfang,China,45.6,126.633333,ChinaDPRK
Pu Lan Tiek S.,China,39.316667,121.966667,ChinaDPRK
Pulandian,China,39.45,122.016667,ChinaDPRK
Qingdao,China,36.166667,120.383333,ChinaDPRK
Qingdao Shi,China,36.266667,120.366667,ChinaDPRK
Qingzhen,China,26.516667,106.5,ChinaDPRK
San Shih Li Pu,China,39.283333,121.766667,ChinaDPRK
Shantou,China,23.433333,116.766667,ChinaDPRK
Shenyang,China,41.783333,123.5,ChinaDPRK
Shenyang,China,41.816667,123.3,ChinaDPRK
